Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,MACD,MACD_Sig,MACD_Hist,ADX,DI_Plus,DI_Minus,AROON_Up,AROON_Dn,RSI,STOCH_K,STOCH_D,WILLR,ROC,MFI,BB_Upper,BB_Mid,BB_Lower,BB_Width,BB_Pct,ATR,KC_Upper,KC_Lower,KC_Mid,Ulcer,OBV,VWAP,CMF,Signal_RSI,Signal_MACD,Signal_MA
2025-06-10,5052.95703125,5087.453168565198,4963.998262030869,4981.691076271342,3023426,4932.437744140625,4528.174497070312,4189.90603515625,4867.098421038842,4564.884244643244,139.25029013421772,160.8545574645132,-21.60426733029547,35.53148072856411,27.154905608925507,12.497585272979604,32.0,12.0,64.26335414499243,86.3672145017783,73.06891200773667,-13.632785498221699,3.033294775542081,53.857990801143885,5094.05932158023,4932.437744140625,4770.81616670102,6.553415808708368,0.8728440503385471,131.52404190363606,5060.014477894156,4794.11674798048,4927.065612937317,2.228988972962494,52548666,4448.469416623097,0.1721757509806086,0,0,1
2025-06-11,4981.4931640625,5085.476273335975,4961.922428016831,5075.097750329167,1759168,4945.8705078125,4546.193583984375,4191.599611816407,4877.993158469667,4581.221849326352,132.15594637066079,155.1148352457427,-22.958888875081925,35.603972334716566,25.3248878765,11.768575882297363,28.000000000000004,8.0,59.62658037383687,58.12487642958613,71.27665572583307,-41.87512357041387,0.7315158654069259,45.99819118321823,5073.29203443392,4945.8705078125,4818.448981191081,5.152643055257694,0.6397827242952348,130.9547421476009,5072.864077043168,4816.148859328474,4944.506468185821,2.2141190508133795,50789498,4450.0106765492865,0.05353874432242115,0,0,1
2025-06-12,4898.6630859375,5016.286352125265,4878.993409378765,4991.575581917751,1248236,4950.377758789063,4561.910625,4192.697736816406,4879.961722990412,4593.670525271887,118.48412156165432,147.78869250892504,-29.30457094727072,34.53912128580909,23.4349494615692,15.398049590520221,24.0,4.0,54.7002027970076,25.390640779916204,56.627577237093554,-74.6093592200838,-1.4535424258226979,47.976961989717836,5063.636549640083,4950.377758789063,4837.118967938042,4.575763562687193,0.2716968702253422,131.40747076180796,5080.794590101535,4823.772949360151,4952.283769730842,2.1951848034079893,49541262,4450.929302227339,-0.0346473971687924,0,0,1
2025-06-13,4967.85302734375,5024.687796359322,4835.502244371321,4843.310750892236,2521739,4945.3515625,4578.6852734375,4193.8736645507815,4888.332323405016,4608.344348882548,111.94175703359724,140.61930541385948,-28.677548380262238,33.01990603457505,21.098404358088548,16.154856495521887,20.0,0.0,57.83412683198704,52.73432918210606,45.41661546386947,-47.26567081789394,0.16341516528963046,49.852868306709006,5045.365652196984,4945.3515625,4845.337472803016,4.044771678332393,0.6124914745108583,135.53447656367896,5071.821265947786,4828.637658016441,4950.229461982113,2.1448485433899593,52063001,4453.058743776143,-0.13376673152003,0,0,1
2025-06-16,5005.1171875,5050.881340052677,4932.269645178641,4990.38918261403,1615417,4947.694165039063,4595.290908203125,4195.337727050781,4899.454691414062,4623.904068044017,108.51292287697288,134.19802890648216,-25.685106029509285,31.84693592737405,21.160533126122463,15.135928612477272,16.0,0.0,59.460800492232366,67.46103024836475,48.52866673679568,-32.53896975163525,1.259820631319984,48.087392627483965,5050.950646180925,4947.694165039063,4844.4376838972,4.173923354902725,0.7780601363997904,134.32570644299014,5068.852694035204,4832.182835193871,4950.517764614537,2.0976876357763428,53678418,4454.511739300281,-0.0737542841894898,0,0,1
2025-06-17,4988.90673828125,5073.220177711565,4981.691386270699,5020.24018866446,1692373,4957.380810546875,4611.360810546875,4197.115964355468,4907.973933972841,4638.217898249399,103.2967585957631,128.01777484433836,-24.721016248575268,30.960563207393083,21.3221893061608,14.38209187134835,12.0,0.0,58.40524855165178,61.05470205544938,60.41668716197339,-38.94529794455062,1.4716208059070213,54.037373399204405,5034.671049886624,4957.380810546875,4880.090571207126,3.118188506935486,0.7039450776947045,131.26878394283844,5074.252842279114,4844.304311538761,4959.278576908937,2.0462032747046424,51986045,4455.981197354016,-0.029793128465985273,0,0,1
2025-06-18,4936.22314453125,5009.36701972054,4927.32726781904,4995.528989279323,1044099,4957.0299072265625,4624.7006640625,4198.808894042969,4910.6643349784035,4649.904378495746,93.83016931737075,121.18025373894484,-27.350084421574095,29.438654311536503,20.344144060719014,16.761978822579916,8.0,0.0,54.9887019388281,40.23428015410305,56.250004152639065,-59.76571984589695,-0.46043051562762927,54.804083164430445,5034.636815910378,4957.0299072265625,4879.422998542747,3.1311858163565494,0.3659477419717677,127.7524245113143,5071.187052216499,4855.827769451332,4963.507410833916,2.0322414154710113,50941946,4456.794522795791,-0.14327733864852585,0,0,1
2025-06-19,4845.58447265625,4973.289934421723,4787.959145848917,4961.922979389257,1743152,4950.224560546875,4637.8112109375,4200.456857910156,4904.466252852484,4657.578107678511,78.11360082355986,112.56692315586785,-34.45332233230799,28.090961121353395,18.30180013373846,22.62852409960679,4.0,0.0,49.61167526882563,19.240893786358892,40.17662533197045,-80.7591062136411,-1.7417600517403093,55.10198306481565,5040.778193120241,4950.224560546875,4859.67092797351,3.658566655544276,-0.07777962582476695,131.8651648014209,5070.63189001506,4846.87094444699,4958.751417231024,2.1661311342595804,49198794,4457.890714860201,-0.19810946574671834,0,0,1
2025-06-20,4915.5654296875,4925.350798323284,4796.854791142464,4853.195348137131,1902384,4950.792919921875,4656.88595703125,4202.072014160156,4905.523317312962,4667.695257561216,70.49239301097532,104.15201712688935,-33.65962411591403,26.83953173046908,17.025600441717355,21.05061835941819,0.0,12.0,53.40047169420815,42.60728901406759,34.02748765150985,-57.39271098593241,0.26816321741678467,56.491631822172266,5040.320764287509,4950.792919921875,4861.265075556242,3.616707295729356,0.3032595865342997,131.6245106856637,5068.834611716675,4843.235174639267,4956.034893177971,2.210859243764753,51101178,4459.294682751199,-0.10201498096781485,0,0,1
2025-06-23,4970.02783203125,5001.459737725333,4915.46626002136,4915.565199625624,1864791,4952.0284423828125,4676.382758789063,4203.919982910156,4911.66660442899,4679.551436952197,68.06260823923913,96.93413534935931,-28.871527110120184,24.99345553700228,20.44597877419056,20.043326792703876,0.0,8.0,56.16304212878676,60.79209345517113,40.88009208519921,-39.20790654482887,-0.8557467453278985,57.65909441201998,5041.901291014616,4952.0284423828125,4862.155593751009,3.629738789971823,0.6001380835394378,128.36515118697153,5070.195328729065,4844.309256916915,4957.25229282299,2.1352250683188276,52965969,4460.82584891061,-0.0990118575010607,0,0,1
2025-06-24,4829.966796875,4993.354204665964,4818.599843398266,4991.57522239205,2435417,4944.980908203125,4693.300732421875,4204.359377441407,4903.8856703762285,4685.450078517797,54.21032838294468,88.38937395607638,-34.1790455731317,24.041714193725632,18.50780606578034,23.3978038403776,60.0,4.0,48.242312681267556,14.026206815445608,39.14186309489478,-85.9737931845544,-2.0604124547729374,57.124385252339316,5048.840948054805,4944.980908203125,4841.120868351445,4.200624503095203,-0.05369760830235549,131.67866619273772,5067.437573784607,4837.024509449839,4952.231041617223,2.2769366131639166,50530552,4462.265530892051,-0.1423990716016524,0,0,1
2025-06-25,4737.25244140625,4843.310872145445,4729.641331268562,4843.310872145445,2084409,4933.856127929687,4706.852119140625,4204.190456542969,4888.015839045755,4687.481543729109,35.3436040891047,77.78021998268206,-42.436615893577354,23.854053595196365,17.355364102171862,26.813996791053384,56.00000000000001,0.0,43.835220948130605,2.1271264235393077,25.648475564718684,-97.87287357646069,-4.310588255716253,48.63398442600628,5071.255088770406,4933.856127929687,4796.457167088969,5.569637917203423,-0.21544822944968636,130.39230009874808,5059.314315281638,4824.848685032379,4942.081500157008,2.823607604370582,48446143,4463.180378425089,-0.16981493903012887,0,0,1
2025-06-26,4761.3701171875,4796.360471083799,4739.624639523648,4761.073298367292,1293102,4924.78232421875,4718.9307421875,4204.482641601562,4875.954341725921,4690.379134845125,22.083123532729587,66.64080069269156,-44.55767715996197,23.679797325133475,16.7705751738879,25.91049926981801,52.0,96.0,45.2367003884389,8.867450042641865,8.340261093875599,-91.13254995735814,-5.770619307846504,50.37432450917306,5081.253597355577,4924.78232421875,4768.311051081922,6.354444230655383,-0.022179578894181023,125.30056649723386,5049.3015022414165,4816.970892309054,4933.136197275235,3.1879831350276318,49739245,4463.794541674695,-0.175923641117497,0,0,1
